2025-07-20 10:21:42 |     INFO | __main__ | 初始化DataSegment: 12 个进程, chunk_size=500000
2025-07-20 10:21:42 |     INFO | __main__ | 初始化DataEncode
2025-07-20 10:21:42 |     INFO | __main__ | 初始化DataProcessor: base_dir=data/aeroclub-recsys-2025, chunk_size=500000, n_processes=12
2025-07-20 10:21:42 |     INFO | __main__ | 开始数据处理流水线
2025-07-20 10:21:42 |     INFO | __main__ | 源数据目录: data/aeroclub-recsys-2025
2025-07-20 10:21:42 |     INFO | __main__ | 分割输出目录: data/aeroclub-recsys-2025\segment
2025-07-20 10:21:42 |     INFO | __main__ | 编码输出目录: data/aeroclub-recsys-2025\encode
2025-07-20 10:21:42 |     INFO | __main__ | ============================================================
2025-07-20 10:21:42 |     INFO | __main__ | 第一阶段：数据分割处理
2025-07-20 10:21:42 |     INFO | __main__ | ============================================================
2025-07-20 10:21:42 |     INFO | __main__ | 发现 8 个分割文件缺失，开始分割处理...
2025-07-20 10:21:42 |     INFO | __main__ | 处理训练数据分割...
2025-07-20 10:21:42 |     INFO | __main__ | 开始分割处理 data/aeroclub-recsys-2025\train.parquet
2025-07-20 10:21:42 |     INFO | __main__ | 创建了 18 个批次
2025-07-20 10:21:42 |     INFO | __main__ | 处理 segment_3 级别数据...
2025-07-20 10:22:29 |     INFO | __main__ | 分割合并完成: data/aeroclub-recsys-2025\segment\train\train_segment_3.parquet, 共 547 行
2025-07-20 10:22:29 |     INFO | __main__ | segment_3 处理完成, 累计处理 7 个ranker_id
2025-07-20 10:22:29 |     INFO | __main__ | 处理 segment_2 级别数据...
2025-07-20 10:23:40 |     INFO | __main__ | 分割合并完成: data/aeroclub-recsys-2025\segment\train\train_segment_2.parquet, 共 1120750 行
2025-07-20 10:23:40 |     INFO | __main__ | segment_2 处理完成, 累计处理 5659 个ranker_id
2025-07-20 10:23:40 |     INFO | __main__ | 处理 segment_1 级别数据...
2025-07-20 10:28:03 |     INFO | __main__ | 分割合并完成: data/aeroclub-recsys-2025\segment\train\train_segment_1.parquet, 共 10897167 行
2025-07-20 10:28:05 |     INFO | __main__ | segment_1 处理完成, 累计处理 77914 个ranker_id
2025-07-20 10:28:05 |     INFO | __main__ | 处理 segment_0 级别数据...
