Id,bySelf,companyID,corporateTariffCode,frequentFlyer,nationality,isAccess3D,isVip,legs0_arrivalAt,legs0_departureAt,legs0_duration,legs0_segments0_aircraft_code,legs0_segments0_arrivalTo_airport_city_iata,legs0_segments0_arrivalTo_airport_iata,legs0_segments0_baggageAllowance_quantity,legs0_segments0_baggageAllowance_weightMeasurementType,legs0_segments0_cabinClass,legs0_segments0_departureFrom_airport_iata,legs0_segments0_duration,legs0_segments0_flightNumber,legs0_segments0_marketingCarrier_code,legs0_segments0_operatingCarrier_code,legs0_segments0_seatsAvailable,legs0_segments1_aircraft_code,legs0_segments1_arrivalTo_airport_city_iata,legs0_segments1_arrivalTo_airport_iata,legs0_segments1_baggageAllowance_quantity,legs0_segments1_baggageAllowance_weightMeasurementType,legs0_segments1_cabinClass,legs0_segments1_departureFrom_airport_iata,legs0_segments1_duration,legs0_segments1_flightNumber,legs0_segments1_marketingCarrier_code,legs0_segments1_operatingCarrier_code,legs0_segments1_seatsAvailable,legs0_segments2_aircraft_code,legs0_segments2_arrivalTo_airport_city_iata,legs0_segments2_arrivalTo_airport_iata,legs0_segments2_baggageAllowance_quantity,legs0_segments2_baggageAllowance_weightMeasurementType,legs0_segments2_cabinClass,legs0_segments2_departureFrom_airport_iata,legs0_segments2_duration,legs0_segments2_flightNumber,legs0_segments2_marketingCarrier_code,legs0_segments2_operatingCarrier_code,legs0_segments2_seatsAvailable,legs0_segments3_aircraft_code,legs0_segments3_arrivalTo_airport_city_iata,legs0_segments3_arrivalTo_airport_iata,legs0_segments3_baggageAllowance_quantity,legs0_segments3_baggageAllowance_weightMeasurementType,legs0_segments3_cabinClass,legs0_segments3_departureFrom_airport_iata,legs0_segments3_duration,legs0_segments3_flightNumber,legs0_segments3_marketingCarrier_code,legs0_segments3_operatingCarrier_code,legs0_segments3_seatsAvailable,legs1_arrivalAt,legs1_departureAt,legs1_duration,legs1_segments0_aircraft_code,legs1_segments0_arrivalTo_airport_city_iata,legs1_segments0_arrivalTo_airport_iata,legs1_segments0_baggageAllowance_quantity,legs1_segments0_baggageAllowance_weightMeasurementType,legs1_segments0_cabinClass,legs1_segments0_departureFrom_airport_iata,legs1_segments0_duration,legs1_segments0_flightNumber,legs1_segments0_marketingCarrier_code,legs1_segments0_operatingCarrier_code,legs1_segments0_seatsAvailable,legs1_segments1_aircraft_code,legs1_segments1_arrivalTo_airport_city_iata,legs1_segments1_arrivalTo_airport_iata,legs1_segments1_baggageAllowance_quantity,legs1_segments1_baggageAllowance_weightMeasurementType,legs1_segments1_cabinClass,legs1_segments1_departureFrom_airport_iata,legs1_segments1_duration,legs1_segments1_flightNumber,legs1_segments1_marketingCarrier_code,legs1_segments1_operatingCarrier_code,legs1_segments1_seatsAvailable,legs1_segments2_aircraft_code,legs1_segments2_arrivalTo_airport_city_iata,legs1_segments2_arrivalTo_airport_iata,legs1_segments2_baggageAllowance_quantity,legs1_segments2_baggageAllowance_weightMeasurementType,legs1_segments2_cabinClass,legs1_segments2_departureFrom_airport_iata,legs1_segments2_duration,legs1_segments2_flightNumber,legs1_segments2_marketingCarrier_code,legs1_segments2_operatingCarrier_code,legs1_segments2_seatsAvailable,legs1_segments3_aircraft_code,legs1_segments3_arrivalTo_airport_city_iata,legs1_segments3_arrivalTo_airport_iata,legs1_segments3_baggageAllowance_quantity,legs1_segments3_baggageAllowance_weightMeasurementType,legs1_segments3_cabinClass,legs1_segments3_departureFrom_airport_iata,legs1_segments3_duration,legs1_segments3_flightNumber,legs1_segments3_marketingCarrier_code,legs1_segments3_operatingCarrier_code,legs1_segments3_seatsAvailable,miniRules0_monetaryAmount,miniRules0_percentage,miniRules0_statusInfos,miniRules1_monetaryAmount,miniRules1_percentage,miniRules1_statusInfos,pricingInfo_isAccessTP,pricingInfo_passengerCount,profileId,ranker_id,requestDate,searchRoute,sex,taxes,totalPrice,selected
100,True,62836,,,36,False,False,2024-05-21T08:35:00,2024-05-20T08:05:00,23:30:00,321,OVB,OVB,1.0,0.0,2.0,KHV,05:15:00,5238,S7,S7,3.0,321,UUS,UUS,1.0,0.0,2.0,OVB,05:30:00,5257,S7,S7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,,1.0,3500.0,,1.0,0.0,1,3382768,e04b757602824a4dbe227f1e67dbdbd3,2024-05-17 03:40:53,KHVUUS,True,1235.0,123020.0,0
101,True,62836,,,36,False,False,2024-05-21T08:35:00,2024-05-20T08:05:00,23:30:00,321,OVB,OVB,2.0,0.0,2.0,KHV,05:15:00,5238,S7,S7,3.0,321,UUS,UUS,,,,OVB,05:30:00,5257,S7,S7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,0.0,1,3382768,e04b757602824a4dbe227f1e67dbdbd3,2024-05-17 03:40:53,KHVUUS,True,1235.0,125165.0,0
102,True,62836,139,,36,True,False,2024-05-21T08:35:00,2024-05-20T08:05:00,23:30:00,321,OVB,OVB,2.0,0.0,2.0,KHV,05:15:00,5238,S7,S7,3.0,321,UUS,UUS,2.0,0.0,2.0,OVB,05:30:00,5257,S7,S7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,0.0,1,3382768,e04b757602824a4dbe227f1e67dbdbd3,2024-05-17 03:40:53,KHVUUS,True,1235.0,160245.0,0
103,True,62836,,,36,False,False,2024-05-21T08:35:00,2024-05-20T08:05:00,23:30:00,321,OVB,OVB,2.0,0.0,2.0,KHV,05:15:00,5238,S7,S7,3.0,321,UUS,UUS,2.0,0.0,2.0,OVB,05:30:00,5257,S7,S7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,1.0,0.0,1,3382768,e04b757602824a4dbe227f1e67dbdbd3,2024-05-17 03:40:53,KHVUUS,True,1235.0,166870.0,0
104,True,25312,,,36,False,False,2024-05-29T11:10:00,2024-05-29T10:50:00,01:20:00,319,BQS,BQS,1.0,0.0,1.0,KHV,01:20:00,4528,HZ,HZ,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,2847501,6dabbda422034b089089b2b719004191,2024-05-17 03:51:28,KHVBQS,True,1185.0,3885.0,1
105,True,25312,,,36,False,False,2024-05-29T11:10:00,2024-05-29T10:50:00,01:20:00,319,BQS,BQS,2.0,0.0,2.0,KHV,01:20:00,4528,HZ,HZ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,2847501,6dabbda422034b089089b2b719004191,2024-05-17 03:51:28,KHVBQS,True,1185.0,28185.0,0
106,True,25312,,,36,False,False,2024-05-29T11:10:00,2024-05-29T10:50:00,01:20:00,319,BQS,BQS,2.0,0.0,2.0,KHV,01:20:00,4528,HZ,HZ,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,2847501,6dabbda422034b089089b2b719004191,2024-05-17 03:51:28,KHVBQS,True,1185.0,40185.0,0
107,True,25312,118,,36,True,False,2024-05-30T07:35:00,2024-05-29T08:05:00,1.00:30:00,321,OVB,OVB,0.0,0.0,1.0,KHV,05:15:00,5238,S7,S7,9.0,321,BQS,BQS,0.0,0.0,1.0,OVB,04:20:00,5209,S7,S7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,1.0,0.0,,0.0,1.0,1,2847501,6dabbda422034b089089b2b719004191,2024-05-17 03:51:28,KHVBQS,True,1354.0,39759.0,0
108,True,25312,,,36,False,False,2024-05-30T07:35:00,2024-05-29T08:05:00,1.00:30:00,321,OVB,OVB,0.0,0.0,1.0,KHV,05:15:00,5238,S7,S7,9.0,321,BQS,BQS,0.0,0.0,1.0,OVB,04:20:00,5209,S7,S7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,,1.0,0.0,,0.0,1.0,1,2847501,6dabbda422034b089089b2b719004191,2024-05-17 03:51:28,KHVBQS,True,1354.0,41359.0,0
109,True,25312,118,,36,True,False,2024-05-30T07:35:00,2024-05-29T08:05:00,1.00:30:00,321,OVB,OVB,1.0,0.0,1.0,KHV,05:15:00,5238,S7,S7,9.0,321,BQS,BQS,1.0,0.0,1.0,OVB,04:20:00,5209,S7,S7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,,1.0,3500.0,,1.0,1.0,1,2847501,6dabbda422034b089089b2b719004191,2024-05-17 03:51:28,KHVBQS,True,1354.0,50099.0,0
