Feature,Importance
legs0_duration,220.76305849850178
legs0_segments0_flightNumber,152.00189855275676
legs0_segments0_duration,149.25379355845507
legs1_duration,136.25665296707302
legs0_segments1_duration,134.5342259183526
legs1_segments0_flightNumber,123.00195647461805
miniRules0_monetaryAmount,117.25271487503778
miniRules1_monetaryAmount,112.5045406598365
legs0_segments1_flightNumber,105.50188432063442
totalPrice_bin,95.75369070516899
legs0_segments0_aircraft_code,82.00170014833566
legs0_segments0_departureFrom_airport_iata,80.50268936518114
legs0_segments1_arrivalTo_airport_city_iata,74.25306373345666
corporateTariffCode,72.75272310269065
legs1_segments0_duration,69.00728405755945
legs0_segments0_baggageAllowance_quantity,62.75507006875705
legs0_segments0_marketingCarrier_code,62.25437264575157
legs0_segments1_aircraft_code,60.00207074946957
legs0_segments0_operatingCarrier_code,59.00295197986998
legs1_segments1_duration,50.51598287187517
legs0_segments0_arrivalTo_airport_city_iata,50.50295190082397
frequentFlyer,46.50108977186028
legs1_segments0_aircraft_code,44.252736476715654
total_baggage,43.254731983994134
legs1_segments1_flightNumber,43.002025740162935
legs0_segments0_seatsAvailable,41.751301666896325
legs0_segments0_arrivalTo_airport_iata,39.752262386493385
legs0_segments1_arrivalTo_airport_iata,39.503558720927685
pricingInfo_isAccessTP,37.25344301306177
legs0_segments1_departureFrom_airport_iata,34.253687541000545
legs1_segments0_departureFrom_airport_iata,30.5034734767396
taxes_bin,30.25395136838779
legs1_segments0_seatsAvailable,25.251732441596687
legs0_segments2_duration,24.756538799847476
max_baggage,24.00659396336414
legs0_duration_hours,23.765961918514222
legs1_segments0_arrivalTo_airport_city_iata,21.75218225963181
legs1_segments1_aircraft_code,19.252242210088298
legs0_segments1_operatingCarrier_code,16.502814402105287
legs0_segments1_seatsAvailable,16.030703934840858
nationality,15.752516676788218
legs0_segments0_cabinClass,15.505252617644146
legs0_segments1_baggageAllowance_quantity,14.509663347387686
legs0_segments1_marketingCarrier_code,14.256269252859056
legs1_duration_hours,14.008039066102356
legs1_segments1_arrivalTo_airport_iata,13.270728452596813
legs1_segments0_marketingCarrier_code,13.252655465330463
legs1_segments0_operatingCarrier_code,13.004126303014345
cancel_fee,12.752561116125435
legs0_segments2_flightNumber,11.750705469632521
has_business,11.257809146307409
miniRules1_statusInfos,11.255574943497777
exchange_fee,11.00404012016952
legs1_segments0_baggageAllowance_quantity,10.755394354579039
legs1_segments1_arrivalTo_airport_city_iata,10.504674037918448
legs1_segments2_arrivalTo_airport_city_iata,10.504310711752623
miniRules0_percentage,9.25344912847504
legs1_segments0_arrivalTo_airport_iata,9.003421521163546
legs0_segments2_aircraft_code,9.002313901321031
legs1_segments1_seatsAvailable,8.755861479323357
legs0_segments1_cabinClass,8.258189263520762
miniRules0_statusInfos,8.255954510183074
legs0_segments2_arrivalTo_airport_city_iata,8.001042570220307
legs1_segments0_cabinClass,6.5054011977044865
legs1_segments1_operatingCarrier_code,6.255518943537027
legs0_segments2_operatingCarrier_code,6.252294667530805
legs0_segments0_baggageAllowance_weightMeasurementType,5.7579677370376885
legs1_segments1_departureFrom_airport_iata,4.758895041886717
legs0_segments2_departureFrom_airport_iata,4.502247267693747
legs1_segments1_marketingCarrier_code,4.501697644474916
has_premium,3.2511651295935735
legs1_segments1_cabinClass,3.021532364189625
legs0_segments2_marketingCarrier_code,3.001607971644262
legs1_segments2_duration,2.5127894831821322
legs1_segments1_baggageAllowance_quantity,2.5026946410071105
miniRules1_percentage,2.2511110183768324
legs1_segments2_flightNumber,2.0011052612098865
legs0_segments2_arrivalTo_airport_iata,2.000752379768528
legs1_segments2_aircraft_code,1.7515145245415624
legs0_segments2_seatsAvailable,1.2512905509502161
legs0_segments1_baggageAllowance_weightMeasurementType,1.0069105409784243
legs0_segments2_baggageAllowance_quantity,0.502456538612023
legs1_segments2_arrivalTo_airport_iata,0.2529986602021381
legs1_segments2_departureFrom_airport_iata,0.25286899344064295
legs1_segments2_baggageAllowance_quantity,0.2515531240569544
legs1_segments1_baggageAllowance_weightMeasurementType,0.25
legs1_segments2_seatsAvailable,0.018837036564946175
is_round_trip,0.013188783777877688
legs0_segments2_cabinClass,0.012493976042605937
legs1_segments2_marketingCarrier_code,0.0036652289563789964
legs1_segments2_cabinClass,0.0031096977181732655
legs1_segments0_baggageAllowance_weightMeasurementType,0.0011032135225832462
legs1_segments2_operatingCarrier_code,0.0003656861081253737
has_DL,0.0
request_dayofweek,0.0
pricingInfo_passengerCount,0.0
has_AA,0.0
has_BA,0.0
request_month,0.0
request_hour,0.0
has_AF,0.0
legs0_segments2_baggageAllowance_weightMeasurementType,0.0
has_WN,0.0
has_KL,0.0
min_cabin_class,0.0
has_LH,0.0
legs1_segments2_baggageAllowance_weightMeasurementType,0.0
has_UA,0.0
legs0_arr_hour,0.0
legs0_dept_dayofweek,0.0
legs0_dept_hour,0.0
legs0_num_segments,0.0
legs1_num_segments,0.0
legs1_dept_hour,0.0
legs1_arr_hour,0.0
legs1_dept_dayofweek,0.0
